Speed,Strength,Lightning,Wind,Water,Fire,summ
9,"8,46","0,03","5,43","7,5","5,77","36,19"
9,"8,42","0,27","7,48","2,73","6,82","34,72"
9,"0,73","7,21","5,34","0,2","8,16","30,64"
"8,99","6,36","2,05","4,46","3,56","7,33","32,75"
"8,99","3,15","3,52","6,18","8,69","1,49","32,02"
"8,99","5,04","8,52","6,92","1,81","5,43","36,71"
"8,98","3,44","8,78","5,33","5,63","4,1","36,26"
"8,98","2,33","1,85","7,67","1,21","7,03","29,07"
"8,98","2,89","1,83","3,85","2,8","5,06","25,41"
"8,98","2,33","1,85","7,67","1,21","7,03","29,07"
"8,97","8,67","4,29","4,21","8,11","0,91","35,16"
"8,97","5,2","0,68","2,52","7,26","1,86","26,49"
"8,96","3,32","8,08","0,74","4,81","1,04","26,95"
"8,96","8,96","0,15","6,45","7,48","3,38","31,22"
"8,96","6,37","6,42","1,59","5,06","4,1","32,5"
"8,95","7,82","6,54","0,29","6,71","7,69",38
"8,95","5,9","1,56","4,87","1,77","8,15","31,2"
"8,95","0,86","6,86","8,61","4,67","0,21","30,16"
"8,95","0,91","2,36","6,48","5,24","8,81","32,75"
"8,95","6,76","4,78","6,38","0,13","2,63","29,63"
"8,94","3,87","6,14","4,36","6,94","3,39","33,64"
"8,94","1,75","7,85","7,82","3,47","0,33","30,16"
"8,94","6,27","8,19","3,87","3,4","6,24","36,91"
"8,94","1,11","0,87","6,56","4,64","7,75","29,87"
"8,93","5,05","3,96","4,8","0,65","7,87","31,26"
"8,93","0,03","4,84","4,41","1,04","5,26","24,51"
"8,93","3,67","0,62","5,49","1,61","4,66","24,98"
"8,92","4,65","0,88","3,6","2,07","1,44","21,56"
"8,91","6,28","6,97","6,75","3,44","8,52","40,87"
"8,91","5,58","3,35","6,77","4,72","1,35","30,68"
"8,91","4,85","7,94","8,45","2,17","7,3","39,62"
"8,91","1,66","8,78","1,02","4,88","8,69","33,94"
"8,91","1,66","8,78","1,02","4,88","8,69","33,94"
"8,9","4,57","2,6","6,49","8,16","3,57","34,29"
"8,9","8,85","8,47","7,81","3,58","5,82","43,43"
"8,9","2,79","8,02","5,03","5,7","6,15","36,59"
"8,89","4,4","0,17","8,97","4,3","0,3","27,03"
"8,89","6,31","6,63","2,83","3,64","8,83","37,13"
"8,89","4,27","2,53","1,98","5,5","1,64","24,81"
"8,88","1,34","8,09","1,25","3,79","8,34","31,69"
"8,87","4,82","0,62","5,57","0,83","7,22","27,93"
"8,87","6,1","1,44","0,5","5,19","6,89","28,99"
"8,87","1,27","7,13","7,62","4,09","4,25","33,23"
"8,86","7,64","1,71","7,26","3,63","3,09","32,19"
"8,86","5,09","8,75","3,78",2,"7,69","36,17"
"8,86","0,72","5,34","1,91","2,04","0,83","19,7"
"8,85","0,77","6,24","3,08","2,71","5,72","27,37"
"8,85","3,53","2,22","3,77","3,56","1,63","23,56"
"8,85","3,34","8,18","7,56","4,92","2,67","35,52"
"8,85","5,36","4,59","7,52","0,01","8,04","34,37"
"8,85","2,54","6,65","2,25","3,41","7,68","31,38"
"8,85","0,52","4,58","2,2","2,86","6,5","25,51"
"8,84","8,31","0,5","6,02","0,42","8,73","32,82"
"8,84","2,18","5,49","4,36","1,54","1,38","23,79"
"8,84","4,46","1,27","5,26","8,5","0,79","29,12"
"8,83","2,12","3,86","8,94","0,28","6,23","30,26"
"8,83","8,33","7,34","6,34","1,23","7,77","39,84"
"8,83","2,84","8,04","3,45","4,02","8,24","35,42"
"8,83","2,48","1,56","7,26","1,43","8,6","30,16"
"8,83","3,71","5,84","1,51","0,65","6,64","27,18"
"8,82","8,69","3,2","5,37","0,84","3,57","30,49"
"8,82","0,2","7,92","6,12","2,21","2,35","27,62"
"8,82","1,76","1,24","7,43","2,88","8,41","30,54"
"8,82","3,14","1,97","2,44","3,36","8,35","28,08"
"8,81","4,18","0,28","7,72","3,13","7,16","31,28"
"8,8","5,71","7,88","0,24","6,98","0,29","29,9"
"8,8","3,56","8,46","4,31","6,03","3,12","34,28"
"8,8","1,31","0,59","5,2","2,06","7,73","25,69"
"8,8","0,12","6,51","1,93","7,31","7,58","32,25"
"8,79","7,46","3,12","5,13","0,72","0,09","25,31"
"8,79","4,14","5,6","7,36","1,45","2,93","30,27"
"8,79","6,84","3,71","1,41","4,52","2,99","28,26"
"8,79","6,22","3,59","4,1","6,54","6,56","35,8"
"8,78","5,72","4,83","1,14",5,"0,86","26,33"
"8,77","7,33","7,41","7,07","0,3","7,14","38,02"
"8,77","2,22","2,17","6,78","2,49","4,59","27,02"
"8,76","5,57","0,67","4,23","2,61","1,17","23,01"
"8,76","5,44","5,19","4,66","4,52","2,54","31,11"
"8,76","2,71","0,49","8,49","4,15","7,45","32,05"
"8,75","3,64","4,44","8,98","3,35","7,24","36,4"
"8,75","4,57","5,4","0,6","6,63","0,7","26,65"
"8,75","4,44","2,7","5,43","5,45","7,29","34,06"
"8,74","2,14","8,92","0,58","4,01","5,61",30
"8,74","5,68","1,1","0,66","7,76","5,26","29,2"
"8,74","6,95","1,66","3,68","6,2","8,12","35,35"
"8,73","6,62","0,82","7,23","1,99","3,8","29,19"
"8,73","6,68","8,39","3,61","7,24","2,77","37,42"
"8,73","2,17","2,43","4,35","0,44","6,03","24,15"
"8,73","1,52","4,15","6,48",1,"4,42","26,3"
"8,72","2,94","6,18","2,9","1,2","8,02","29,96"
"8,72","8,9","4,17","1,91","0,17","6,98","30,85"
"8,72","4,16","5,65","1,48","2,59","0,42","23,02"
"8,71","4,36","1,26","3,53","8,06","2,13","28,05"
"8,71","0,32","2,4","1,36","2,1","6,85","21,74"
"8,71","7,69","8,82","5,61","5,95","6,87","43,65"
"8,71","4,36","1,26","3,53","8,06","2,13","28,05"
"8,7","8,92","8,33","8,97","6,62","3,18","44,72"
"8,7","2,66","6,59","2,76","8,75","2,98","32,44"
"8,7","5,64","3,07","7,36","2,17","5,63","32,57"
"8,69","1,08","6,79","0,69","2,36","1,69","21,3"
"8,69","7,42","6,97","3,39","4,1","0,97","31,54"
"8,69","3,48","1,16","2,1","1,51","8,18","25,12"
"8,69","2,82","2,61","6,91","7,02","2,31","30,36"
"8,69","5,19","0,13","1,32","4,78","3,06","23,17"
"8,68","4,83","6,4","5,82","1,2","5,73","32,66"
"8,68","4,85","2,87","3,02","5,15","4,1","28,67"
"8,67","5,28","7,59","3,86","5,88","4,78","36,06"
"8,67","4,73","7,75","5,64","2,47","6,58","35,84"
"8,66","1,69","1,32","3,36","4,17","7,52","26,72"
"8,66","3,82","0,4","3,17","4,89","5,15","26,09"
"8,65","7,85","5,99","0,34","4,97","8,61","36,41"
"8,65","5,21","2,26","4,32","2,43","3,08","25,95"
"8,65","8,63","1,37","6,66","5,16","6,37","36,84"
"8,65","2,95","1,79","5,38","4,87","5,47","29,11"
"8,64","7,67","4,66","0,09","6,7","4,33","32,09"
"8,64","2,75","2,78","8,11","0,49","8,26","31,03"
"8,64","8,07","7,55","0,33","2,4","6,83","33,82"
"8,64","2,75","2,78","8,11","0,49","8,26","31,03"
"8,64","4,47","7,15","8,06","7,2","6,67","42,19"
"8,64","8,07","7,55","0,33","2,4","6,83","33,82"
"8,62","1,04","8,3","0,39","7,89","2,06","28,3"
"8,62","0,43","5,03","3,34","4,59","2,29","24,3"
"8,62","0,29","3,82","8,18","4,85","3,14","28,9"
"8,62","2,57","0,18","3,45","0,62","8,61","24,05"
"8,62","1,04","6,23","5,01","1,53","8,93","31,36"
"8,62","4,12","8,98","2,15","7,28","3,22","34,37"
"8,61","1,07","1,82","5,73","8,89","8,73","34,85"
"8,61","5,07","8,16","7,99","5,82","2,71","38,36"
"8,61","3,11","5,93","2,81","2,5","1,65","24,61"
"8,61","4,89","4,88","6,92","1,92","2,22","29,44"
"8,61","4,6","1,63","1,45","1,28","8,45","26,02"
"8,61","6,91","2,97","7,48","3,57","4,17","33,71"
"8,61","3,65","8,71","6,63","7,19","8,08","42,87"
"8,59","7,6","5,26","7,5","5,21","5,37","39,53"
"8,59","1,1","8,42","6,29","6,01","1,13","31,54"
"8,59","8,29","5,67","4,47","6,07","4,83","37,92"
"8,59","6,03","6,37","7,3","8,12","2,37","38,78"
"8,59","8,41","1,74","4,01","5,29","8,55","36,59"
"8,58","4,25","2,09","2,87","4,61","3,03","25,43"
"8,58","2,15","0,92","7,82","6,22","8,86","34,55"
"8,58","1,93","0,8","0,49","0,09","5,58","17,47"
"8,58","1,94","8,44","6,51","5,79","8,4","39,66"
"8,58","5,34","4,34","3,38","2,7","8,27","32,61"
"8,57","2,93","8,31","0,06","6,69","7,6","34,16"
"8,56","2,16","8,83","8,37","1,04","5,51","34,47"
"8,56","7,4","6,12","0,29","4,43","5,63","32,43"
"8,56","6,02","0,94","8,36","6,62","3,51","34,01"
"8,56","3,46","4,08","0,97","6,14","8,43","31,64"
"8,55","7,85","0,34","8,37","8,54","6,52","40,17"
"8,55","5,74","6,92","5,33","4,56","8,61","39,71"
"8,55","2,05","6,44","8,18","2,44","6,09","33,75"
"8,55","6,3","0,62","7,95","7,59","2,65","33,66"
"8,54","5,1","5,98","4,06","0,58","0,75","25,01"
"8,54","5,85","0,51","3,35","6,03","5,37","29,65"
"8,53","3,94","0,04","4,47","5,21","7,43","29,62"
"8,53","7,5","7,65","5,89","7,23","4,31","41,11"
"8,53","3,5","1,48","5,64","0,76","6,53","26,44"
"8,53","3,94","0,04","4,47","5,21","7,43","29,62"
"8,53","8,99","4,56","3,03","5,22","5,36","35,69"
