Wind Direction,Wind str/spd,Temperature,Light,Humidity,Speed,Strength,Lightning,Wind,Water,Fire,Sum,Position
"0,84","0,55","8,45","1,45","0,31","4,60","7,21","1,57","3,20","8,36","0,89","25,83","1,00"
"1,39","1,91","8,60","0,18","0,05","0,55","8,44","8,29","8,70","7,01","8,23","41,22","1,00"
"1,02","1,52","0,05","7,52","0,11","4,41","7,49","2,61","7,12","4,20","5,56","31,39","1,00"
"8,51","8,31","0,35","2,18","2,69","2,26","2,04","1,26","7,96","2,89","5,09","21,50","1,00"
"1,27","2,23","0,31","1,62","8,18","0,94","4,28","0,44","6,14","0,20","8,37","20,37","1,00"
"7,60","9,00","0,78","1,96","0,77","1,65","4,79","1,61","5,65","3,34","1,76","18,80","1,00"
"2,88","0,29","1,74","0,70","8,18","2,33","4,94","1,21","5,23","6,33","7,63","27,67","1,00"
"0,25","1,69","1,08","7,92","1,66","5,16","5,25","2,86","7,72","0,42","6,88","28,29","1,00"
"2,40","0,30","2,82","8,82","2,32","1,86","0,77","4,02","8,52","5,58","6,18","26,93","1,00"
"1,04","2,45","8,95","2,39","1,76","8,44","7,96","0,05","5,82","4,74","4,81","31,82","1,00"
"2,10","1,22","0,62","8,55","0,12","5,63","6,12","7,74","1,34","0,12","3,31","24,26","1,00"
"1,64","1,96","0,98","0,35","7,60","1,50","7,79","4,52","6,78","5,46","2,02","28,07","1,00"
"1,79","1,21","2,26","8,96","0,54","1,84","0,74","5,38","5,26","8,40","9,00","30,62","1,00"
"2,44","0,36","8,66","0,92","1,08","1,97","4,84","3,86","2,62","4,92","8,99","27,20","1,00"
"2,36","0,74","7,94","1,42","0,38","7,51","1,32","4,70","7,34","2,41","7,30","30,58","1,00"
"0,10","1,86","8,46","0,22","2,31","7,64","0,45","0,40","0,29","5,61","3,65","18,04","1,00"
"0,70","0,53","0,62","0,11","7,80","8,93","5,05","3,96","4,80","0,65","7,87","31,26","1,00"
"2,16","1,09","8,67","0,05","0,29","8,68","4,83","6,40","5,82","1,20","5,73","32,66","1,00"
"2,05","0,93","8,86","0,46","2,09","7,15","1,69","0,92","2,61","3,85","6,25","22,47","1,00"
"8,49","8,56","1,27","1,95","0,60","6,16","6,70","6,08","5,00","5,21","5,90","35,05","1,00"
"8,22","8,06","0,21","1,17","1,28","6,92","6,99","0,01","1,54","5,78","5,16","26,40","1,00"
"1,07","0,01","1,63","7,84","0,78","3,29","5,93","1,05","7,36","3,96","2,41","24,00","1,00"
